Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_TP_ctg_Prob_N14,User_2_TP_ctg_Prob_N14,User_4_TP_ctg_Prob_N14,User_5_TP_ctg_Prob_N14,User_6_TP_ctg_Prob_N14,User_7_TP_ctg_Prob_N14,User_9_TP_ctg_Prob_N14,User_10_TP_ctg_Prob_N14,User_12_TP_ctg_Prob_N14,User_13_TP_ctg_Prob_N14,User_14_TP_ctg_Prob_N14,User_16_TP_ctg_Prob_N14,User_17_TP_ctg_Prob_N14,User_18_TP_ctg_Prob_N14,User_19_TP_ctg_Prob_N14,User_20_TP_ctg_Prob_N14,User_21_TP_ctg_Prob_N14,User_22_TP_ctg_Prob_N14,User_23_TP_ctg_Prob_N14,User_24_TP_ctg_Prob_N14,User_25_TP_ctg_Prob_N14,User_26_TP_ctg_Prob_N14
26.0,1,0.29,50,26.0,23.82854459,0.34426355,0.82230514,0.00075184804,0.19947469,0.304603,0.8051135,0.8857889,0.9629311,0.2895483,0.2013209,0.5138278,0.29880068,0.5209256,0.16248006,0.34951377,0.41635248,0.460665,0.7614496,0.685071,0.23698474,0.6617773,0.7570973
26.0,2,0.58,50,26.0,22.50092064,0.3001836,0.7983821,0.0003869723,0.2264591,0.25338218,0.9140434,0.92764753,0.9915554,0.24668248,0.1636789,0.47803256,0.24345052,0.36679116,0.09820671,0.37044874,0.29009703,0.4249896,0.35048684,0.4858344,0.43783674,0.69811416,0.7636252
26.0,3,0.94,50,26.0,21.65035065,0.29430994,0.8305416,0.00029048513,0.17379676,0.26009127,0.9905498,0.9928565,0.98286486,0.26619548,0.26540014,0.48794118,0.21059157,0.38762394,0.06613192,0.5173325,0.030909397,0.6295137,0.077669196,0.5263583,0.28098357,0.64485306,0.7889746
26.0,4,1.37,50,26.0,20.99786431,0.1223438,0.63113713,5.161721e-11,0.028029002,0.256093,0.9991107,0.978748,0.44373703,0.09805947,0.22420388,0.5204863,0.07447801,0.3332881,0.09905839,0.7679965,4.5456313e-06,0.9043648,0.047883004,0.5649845,0.3554847,0.28197736,0.7036062
26.0,5,1.87,50,26.0,20.49091151,0.03154205,0.9319137,1.27154005e-17,0.0023584713,0.33900225,0.99995726,0.8868499,0.05133258,0.01246538,0.17254002,0.35996902,0.0042040367,0.34232268,0.28402784,0.8882284,9.219957e-07,0.98707676,0.11549734,0.93784094,0.36807898,0.37365076,0.87552947
26.5,0,0.07,50,26.5,25.04991076,0.115116715,0.09225116,0.0010091127,0.24268742,0.09639957,0.08840487,0.170105,0.041237894,0.11473909,0.15176606,0.2616558,0.105819516,0.08885712,0.10976402,0.025533214,0.2708665,0.20629264,0.57667893,0.3680459,0.08309871,0.21118313,0.26426363
26.5,1,0.29,50,26.5,24.33221479,0.26688424,0.75806046,0.0004567604,0.10982594,0.19387811,0.6932361,0.90397507,0.95136714,0.22437964,0.15252268,0.3922089,0.22015677,0.32206967,0.13665771,0.30467746,0.37822136,0.39521018,0.68729717,0.6066048,0.2289058,0.5971268,0.6642265
26.5,2,0.58,50,26.5,22.98664822,0.23020715,0.86210674,0.00016113554,0.23707223,0.15716684,0.92353123,0.9562467,0.98589236,0.19253361,0.11075299,0.41608968,0.17797075,0.3497955,0.08615398,0.19992243,0.34605196,0.3457574,0.61227757,0.54041743,0.33828354,0.70251846,0.776542
26.5,3,0.94,50,26.5,22.18229568,0.3022156,0.8767443,0.00013020833,0.16938289,0.25863442,0.983247,0.9913843,0.9736342,0.25556636,0.21905859,0.487196,0.20698863,0.39267334,0.07178796,0.32700667,0.041552197,0.48865065,0.3425729,0.41355586,0.30077922,0.5289921,0.8515498
26.5,4,1.37,50,26.5,21.55288998,0.14173071,0.82245284,3.4729367e-13,0.025356986,0.26195678,0.9986896,0.9960448,0.28667268,0.07854576,0.23151071,0.49977782,0.07420133,0.33621684,0.105576135,0.81263447,3.2054097e-06,0.91239244,0.1362709,0.6961631,0.39123178,0.28165522,0.85892695
26.5,5,1.87,50,26.5,21.06032424,0.036698848,0.9587385,7.1406475e-19,0.004095528,0.45034873,0.9999893,0.8987059,0.08851311,0.013028343,0.20087878,0.37875614,0.004127815,0.32724556,0.36374426,0.96490335,4.3492545e-07,0.98744845,0.1556441,0.9850853,0.4759288,0.40632895,0.9081846
27.0,0,0.07,50,27.0,25.56822788,0.1369073,0.11285598,0.000992545,0.14601699,0.095396064,0.043209936,0.17598979,0.05611301,0.14434063,0.17901933,0.13033533,0.13801646,0.09880042,0.095631056,0.03341251,0.24234796,0.18024747,0.41067958,0.26660088,0.012850467,0.17500722,0.20728141
27.0,1,0.29,50,27.0,24.83819438,0.22895925,0.7035012,0.0004235163,0.10472816,0.13363518,0.3876008,0.8916411,0.8458371,0.20431846,0.14677073,0.317831,0.18994026,0.30870283,0.12619342,0.2457791,0.34074065,0.37835178,0.5429468,0.54828626,0.22730547,0.43661442,0.54082227
27.0,2,0.58,50,27.0,23.47557613,0.20236337,0.8288614,8.208592e-05,0.19446908,0.11272213,0.7331476,0.9637273,0.973156,0.17753597,0.098029435,0.27140567,0.15658288,0.31110308,0.12705325,0.13466561,0.37930897,0.3150361,0.82392246,0.607482,0.24384515,0.48582602,0.73722273
