Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Predicted_TP_ctg_N20,User_2_Predicted_TP_ctg_N20,User_4_Predicted_TP_ctg_N20,User_5_Predicted_TP_ctg_N20,User_6_Predicted_TP_ctg_N20,User_7_Predicted_TP_ctg_N20,User_9_Predicted_TP_ctg_N20,User_10_Predicted_TP_ctg_N20,User_12_Predicted_TP_ctg_N20,User_13_Predicted_TP_ctg_N20,User_14_Predicted_TP_ctg_N20,User_16_Predicted_TP_ctg_N20,User_17_Predicted_TP_ctg_N20,User_18_Predicted_TP_ctg_N20,User_19_Predicted_TP_ctg_N20,User_20_Predicted_TP_ctg_N20,User_21_Predicted_TP_ctg_N20,User_22_Predicted_TP_ctg_N20,User_23_Predicted_TP_ctg_N20,User_24_Predicted_TP_ctg_N20,User_25_Predicted_TP_ctg_N20,User_26_Predicted_TP_ctg_N20
26.0,2,0.58,50,26.0,22.50092064,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
26.0,3,0.94,50,26.0,21.65035065,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
26.0,4,1.37,50,26.0,20.99786431,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
26.0,5,1.87,50,26.0,20.49091151,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
26.5,0,0.07,50,26.5,25.04991076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.5,1,0.29,50,26.5,24.33221479,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
26.5,2,0.58,50,26.5,22.98664822,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
26.5,3,0.94,50,26.5,22.18229568,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
26.5,4,1.37,50,26.5,21.55288998,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
26.5,5,1.87,50,26.5,21.06032424,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1
27.0,0,0.07,50,27.0,25.56822788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,1,0.29,50,27.0,24.83819438,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
27.0,2,0.58,50,27.0,23.47557613,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
27.0,3,0.94,50,27.0,22.66082307,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1
27.0,4,1.37,50,27.0,22.09444723,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
27.0,5,1.87,50,27.0,21.61614394,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
27.5,0,0.07,50,27.5,26.08812818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,1,0.29,50,27.5,25.34640368,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
27.5,2,0.58,50,27.5,23.96673525,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
27.5,3,0.94,50,27.5,23.14744484,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
27.5,4,1.37,50,27.5,22.57656696,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
27.5,5,1.87,50,27.5,22.14850264,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
28.0,0,0.07,50,28.0,26.60971049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,1,0.29,50,28.0,25.85691342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,2,0.58,50,28.0,24.46093062,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
28.0,3,0.94,50,28.0,23.63717371,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
28.0,4,1.37,50,28.0,23.06578178,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
28.0,5,1.87,50,28.0,22.63639023,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
28.5,0,0.07,50,28.5,27.1328243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,1,0.29,50,28.5,26.36973027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,2,0.58,50,28.5,24.95832753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
28.5,3,0.94,50,28.5,24.12964744,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
28.5,4,1.37,50,28.5,23.55832286,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
28.5,5,1.87,50,28.5,23.13027654,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
29.0,0,0.07,50,29.0,27.65747353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,1,0.29,50,29.0,26.88486816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,2,0.58,50,29.0,25.45906194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
29.0,3,0.94,50,29.0,24.62575867,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
29.0,4,1.37,50,29.0,24.05391538,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
29.0,5,1.87,50,29.0,23.62757438,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1
29.5,0,0.07,50,29.5,28.1836337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,1,0.29,50,29.5,27.40233952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29.5,2,0.58,50,29.5,25.96299109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
29.5,3,0.94,50,29.5,25.12550164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
29.5,4,1.37,50,29.5,24.55322284,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
29.5,5,1.87,50,29.5,24.12835628,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1
30.0,0,0.07,50,30.0,28.71126182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,1,0.29,50,30.0,27.9221571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,2,0.58,50,30.0,26.47043557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30.0,3,0.94,50,30.0,25.62904358,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
30.0,4,1.37,50,30.0,25.05646889,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
30.0,5,1.87,50,30.0,24.63294475,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1
