Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Acceptance,User_2_Acceptance,User_4_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_10_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_21_Acceptance,User_22_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
24.0,0,0.07,50,24.0,22.4844195,0.22164051,0.4728161,0.27012348,0.20478511,0.26026237,0.2962385,0.2342412,0.34615603,0.44240263,0.16820182,0.41511273,0.25494385,0.44900477,0.21112287,0.30079925,0.3063317,0.31418493,0.48106456,0.3065085,0.48559833,0.5542515,0.46225405
24.0,1,0.29,50,24.0,21.81924277,0.96820503,0.99392605,0.69273347,0.36696294,0.5183589,0.7153532,0.77568865,0.93271637,0.51849586,0.6097705,0.6821976,0.57133085,0.6527658,0.44359437,0.89436084,0.6871862,0.98801994,0.97145885,0.69336534,0.99041253,0.6731324,0.98843783
24.0,2,0.58,50,24.0,20.37657244,0.40555343,0.23548849,0.31035948,0.38873258,0.27566478,0.14560688,0.028662158,0.17644762,0.03901817,0.46540323,0.5142285,0.46428546,0.32614672,0.12777795,0.24292164,0.27347055,0.16396706,0.2827262,0.1292447,0.15228397,0.19488794,0.30063555
24.0,3,0.94,50,24.0,19.39805314,0.0005549682,0.009132507,0.03250744,0.74934703,0.24024124,0.22248976,0.032859694,0.0023363782,0.066929676,0.00932363,0.42970338,0.71240234,0.4639381,0.0072689108,0.021025954,0.08940879,0.023599928,0.3457643,0.028477406,0.20681076,0.074295424,0.38104323
24.0,4,1.37,50,24.0,18.66690566,0.0007075058,0.015229195,0.0062847137,0.73800397,0.19028671,0.32569373,0.40208724,0.0019321976,0.302767,0.8695903,0.17696206,0.8320959,0.5202327,0.015733112,0.096446864,0.04027885,0.118181415,0.39300057,0.071998276,0.3395865,0.106500745,0.4111817
24.0,5,1.87,50,24.0,18.09189818,0.0015567829,0.020008907,0.008834378,0.71215343,0.20404845,0.31436405,0.4712669,0.0026251245,0.28647596,0.93506426,0.12029637,0.80495524,0.5092302,0.034439784,0.10907649,0.071098,0.11232439,0.40104434,0.07718948,0.34446415,0.121786684,0.4021785
24.5,0,0.07,50,24.5,22.9939457,0.27006784,0.4237961,0.35026988,0.16392733,0.23986395,0.3463578,0.08750572,0.34552667,0.3676382,0.22305012,0.5424385,0.18175058,0.519242,0.19597577,0.33358803,0.21835566,0.16729224,0.46737552,0.12895517,0.40053296,0.57742715,0.26615402
24.5,1,0.29,50,24.5,22.33087837,0.6855621,0.82467604,0.56635123,0.16045749,0.42399213,0.6826601,0.3191567,0.7716091,0.4199772,0.41729093,0.41860414,0.22415896,0.53032994,0.37657413,0.71859336,0.5496256,0.51094955,0.70462567,0.216163,0.76613957,0.68218404,0.6842413
24.5,2,0.58,50,24.5,20.92809918,0.70472616,0.4412698,0.40540668,0.33937815,0.31726015,0.26777425,0.08948728,0.36400393,0.09929963,0.49477497,0.58460975,0.41772476,0.40209076,0.17816104,0.44486955,0.33337012,0.29548886,0.41108966,0.21914758,0.31419,0.30059612,0.48522958
24.5,3,0.94,50,24.5,19.97450335,0.0007390319,0.014246088,0.044401348,0.67583257,0.22575913,0.15131664,0.022574143,0.0035686053,0.039067946,0.015380477,0.4348217,0.6868649,0.3458844,0.011900376,0.023568437,0.1043371,0.033207323,0.33459985,0.026417645,0.17713714,0.08928869,0.36750975
24.5,4,1.37,50,24.5,19.26493094,0.0009737224,0.012893003,0.0061863703,0.6928878,0.1451637,0.24675633,0.28425416,0.002204734,0.26603928,0.7640036,0.13843144,0.79801565,0.48829475,0.009074559,0.08486995,0.045724783,0.10275996,0.36075905,0.06354799,0.318672,0.08455098,0.389431
24.5,5,1.87,50,24.5,18.70872402,0.001821099,0.01755877,0.008008313,0.67028904,0.1688398,0.24481082,0.37427735,0.002639972,0.24754675,0.9160648,0.108009934,0.76244086,0.4857371,0.016594304,0.09709387,0.07983499,0.09864337,0.37617874,0.06974916,0.32535768,0.10309363,0.3825698
25.0,0,0.07,50,25.0,23.50502761,0.37826088,0.31390873,0.44663444,0.20027284,0.17677523,0.36787567,0.06135024,0.32498947,0.255552,0.33203718,0.589311,0.2370305,0.6148391,0.15634425,0.38551998,0.15491158,0.10272804,0.32281998,0.14472307,0.27397713,0.52215004,0.20524587
25.0,1,0.29,50,25.0,22.82771733,0.29319414,0.464591,0.20654874,0.16170096,0.26924285,0.42258382,0.1705035,0.3796004,0.37949976,0.29396656,0.2773495,0.17054488,0.11578538,0.22371346,0.51069266,0.33809233,0.25444233,0.39091817,0.19564164,0.38687035,0.47868553,0.33821845
25.0,2,0.58,50,25.0,21.472584,0.71655434,0.53070855,0.46780935,0.21825135,0.31076428,0.35282612,0.12567012,0.40321362,0.123335235,0.42912984,0.59998393,0.24114971,0.40148807,0.18881357,0.5116735,0.33970454,0.34259772,0.47575393,0.23596613,0.3478572,0.39007106,0.56678754
25.0,3,0.94,50,25.0,20.54250534,0.0010501207,0.022729382,0.05139421,0.49575853,0.20400822,0.10813725,0.017623128,0.005396964,0.020921065,0.0276882,0.44983175,0.6357269,0.23865165,0.018605929,0.031237341,0.11740828,0.04660995,0.3471901,0.027436772,0.15825187,0.093281455,0.3322713
25.0,4,1.37,50,25.0,19.85306467,0.0015107511,0.011203487,0.0065467753,0.591623,0.113050915,0.18183374,0.20384772,0.0027698462,0.20097989,0.48730728,0.10183605,0.6741622,0.4327725,0.006944954,0.072470285,0.053677768,0.08692024,0.32329795,0.054985482,0.29655376,0.06471566,0.36497268
25.0,5,1.87,50,25.0,19.31450558,0.0022235299,0.015504909,0.007523948,0.58071816,0.13777623,0.18411092,0.26423478,0.0028003268,0.19070657,0.8499492,0.088104926,0.70202357,0.4513298,0.00995304,0.08432207,0.090762615,0.08347207,0.34337592,0.061900888,0.3006594,0.084552,0.361926
25.5,0,0.07,50,25.5,24.01821575,0.5110344,0.32185328,0.50638074,0.3269728,0.21606188,0.44411135,0.082361884,0.311592,0.18393831,0.40064988,0.64608294,0.31160328,0.7239869,0.24690028,0.41724133,0.20018856,0.11781735,0.33486402,0.22170115,0.2888699,0.5778963,0.25927863
