"ta","mode","oc1","oc2","oc3","oc4","oc5","oc6","oc7","oc8","oc9","oc10","oc11","oc12","oc13","oc14","oc15","oc16"
26.6,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
26.6,2,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26.6,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.6,4,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1
26.6,5,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
26.7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
26.7,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
26.7,2,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26.7,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.7,4,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
26.7,5,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
26.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
26.8,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
26.8,2,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26.8,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.8,4,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
26.8,5,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
26.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
26.9,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
26.9,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26.9,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.9,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
26.9,5,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
27,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
27,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
27,5,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
27.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.1,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
27.1,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1
27.1,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
27.1,5,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
27.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.2,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
27.2,3,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1
27.2,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
27.2,5,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1
27.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.3,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.3,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
27.3,3,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
27.3,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
27.3,5,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1
27.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.4,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
27.4,3,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
27.4,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
27.4,5,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1
27.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.5,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.5,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
27.5,3,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
27.5,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
27.5,5,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1
27.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.6,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.6,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
27.6,3,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
27.6,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
27.6,5,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1
27.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.7,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.7,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
27.7,3,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
27.7,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0
27.7,5,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
27.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.8,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.8,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.8,3,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
27.8,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0
27.8,5,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1
27.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27.9,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27.9,3,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
27.9,4,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
27.9,5,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
