Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance,User_3_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
26.5,3,0.94,50,26.5,22.18229568,0.99842024,0.9690445,0.86861795,0.009534046,0.99581647,0.9979534,0.99887717,0.9918032,0.9444382,0.87090266,0.82039875,0.99803835,0.7686324,0.6471709,0.9998472,0.72468245,0.999648,0.95977885
26.5,4,1.37,50,26.5,21.55288998,0.9941323,0.9524414,0.01051586,0.090946205,0.98292494,0.9969887,0.99932784,0.99332285,0.9414628,0.814857,0.96559167,0.9969727,0.94187117,0.00071954704,0.99952763,0.6300861,0.99927187,0.7582297
26.5,5,1.87,50,26.5,21.06032424,0.9911867,0.9278285,0.0044820313,0.43406144,0.97620064,0.9969804,0.9935359,0.9872291,0.9106807,0.64604366,0.955912,0.94469583,0.96247804,0.00013568268,0.99872845,0.0259683,0.9948045,0.65703976
27.0,0,0.07,50,27.0,25.56822788,0.11093321,0.6628967,0.004630017,0.006851405,0.95116067,0.004059451,0.0030700094,0.060257938,0.57372385,0.11452336,0.11782884,0.97828734,0.17078672,0.00050465186,0.98850626,0.17597796,0.7173601,0.67103505
27.0,1,0.29,50,27.0,24.83819438,0.6326541,0.043186806,0.019373905,0.0034687105,0.9726718,0.00039598194,0.009083281,0.018188238,0.95206076,0.13490303,0.030981867,0.98668396,0.26587868,0.034436084,0.9897303,0.023574445,0.99629796,0.9243655
27.0,2,0.58,50,27.0,23.47557613,0.9989965,0.98817754,0.99358845,0.0014580966,0.9966255,0.93697876,0.99839586,0.9588999,0.97995436,0.19344886,0.060242984,0.99592984,0.06105133,0.008861222,0.99983835,0.15577064,0.9995374,0.9969248
27.0,3,0.94,50,27.0,22.66082307,0.99871343,0.97394496,0.9813967,0.0023562396,0.99510145,0.99702084,0.99647427,0.9738654,0.966245,0.84732807,0.442357,0.99831635,0.2606742,0.7058096,0.99984264,0.67779416,0.9996606,0.98935235
27.0,4,1.37,50,27.0,22.09444723,0.99568945,0.96303743,0.09709251,0.018980442,0.9861145,0.99706405,0.99938804,0.9930747,0.95725864,0.833112,0.9463346,0.9976011,0.85586673,0.0031988595,0.9995739,0.5653588,0.9993656,0.94192064
27.0,5,1.87,50,27.0,21.61614394,0.99497265,0.93619746,0.029200627,0.27104706,0.9784455,0.99686384,0.998411,0.98687947,0.94369483,0.6501019,0.9496133,0.9699832,0.92753375,0.00016832245,0.9990013,0.024497353,0.9966157,0.908241
27.5,0,0.07,50,27.5,26.08812818,0.075412184,0.443721,0.0032036242,0.00816816,0.8378917,0.0036880963,0.0031166526,0.068416804,0.3856585,0.12651484,0.10182527,0.96837366,0.1381211,0.0006716374,0.9833177,0.11846664,0.10298107,0.5113958
